# drug_id,dept_id,drug_name,price,stock,warning_line
1,1,阿莫西林胶囊,18.0,198,30
2,1,布洛芬片,12.0,300,50
3,1,奥美拉唑肠溶胶囊,35.0,150,30
4,1,复方甘草片,8.0,200,40
5,1,盐酸二甲双胍片,22.0,120,20
6,1,氯雷他定片,15.0,180,30
7,2,头孢克洛胶囊,28.0,150,25
8,2,甲硝唑片,6.0,200,40
9,2,云南白药胶囊,32.0,150,20
10,2,维生素C片,5.0,300,50
11,2,地塞米松片,3.0,150,30
12,3,肾上腺素注射液,45.0,100,15
13,3,葡萄糖注射液,8.0,200,40
14,3,生理盐水,6.0,300,50
15,3,硝酸甘油片,25.0,90,20
16,3,地西泮片,12.0,7,15
17,4,阿司匹林肠溶片,13.0,200,30
18,4,美托洛尔片,22.0,150,25
19,4,氨氯地平片,28.0,120,20
20,4,辛伐他汀片,35.0,100,20
21,4,华法林钠片,42.0,100,15
23,5,塞来昔布胶囊,65.0,100,20
24,5,碳酸钙D3片,25.0,150,25
25,5,硫酸氨基葡萄糖胶囊,48.0,80,15
26,5,双氯芬酸钠肠溶片,15.0,120,20
27,0,维生素B6片,5.0,298,50
28,0,维生素E软胶囊,18.0,198,30
29,0,板蓝根颗粒,15.0,250,40
30,0,藿香正气水,12.0,200,30
31,3,浓盐水,13.0,50,30
32,4,莲花清瘟颗粒,10.0,100,30
33,0,淡盐水,3.0,20,10
